type,name,dietary,dietary+,reduced
saturates,14:00,,x,x
saturates,16:00,,x,x
saturates,17:00,,x,
saturates,18:00,,x,x
monounsaturate,16:1n-7,,x,x
monounsaturate,18:1n-11+9,,x,x
monounsaturate,18:1-7,,x,x
monounsaturate,20:1n-11+9,x,x,x
monounsaturate,20:1n-7,x,x,
monounsaturate,22:1n-11,x,x,x
monounsaturate,22:1n-9,x,x,x
monounsaturate,22:1n-7,x,x,
polyunsaturate,16:2n-4,x,x,
polyunsaturate,16:3n-4,x,x,
polyunsaturate,16:4n-1,x,x,
polyunsaturate,18:2n-6,x,x,x
polyunsaturate,18:2n-4,x,x,
polyunsaturate,18:3n-6,x,x,
polyunsaturate,18:3n-3,x,x,
polyunsaturate,18:4n-3,x,x,x
polyunsaturate,18:4n-1,x,x,
polyunsaturate,20:4n-6,x,x,
polyunsaturate,20:3n-3,x,x,
polyunsaturate,20:4n-3,x,x,
polyunsaturate,20:5n-3,x,x,x
polyunsaturate,21:5n-3,x,x,
polyunsaturate,22:5n-6,x,x,
polyunsaturate,22:5n-3,,x,x
polyunsaturate,22:6n-3,x,x,x
,,21,29,14
